direction,angle
Y,9
Y,8
Y,8
Y,9
Y,9
Y,9
Y,9
Y,9
Y,9
Y,9
Y,9
Y,8
Y,8
Y,8
Y,8
Y,9
Y,9
Y,8
Y,9
Y,8
Y,8
Y,8
Y,8
Y,8
Y,8
Y,9
Y,8
Y,9
Y,8
Y,9
Y,9
Y,8
Y,8
Y,9
Y,8
Y,8
Y,9
Y,8
Y,8
Y,9
Y,9
Y,9
Y,9
Y,9
Y,9
Y,9
Y,9
Y,8
Y,8
Y,8
Y,8
Y,8
Y,9
Y,8
Y,9
Y,8
Y,9
Y,9
Y,9
Y,8
Y,9
Y,8
Y,8
Y,8
Y,8
Y,8
Y,8
Y,8
Y,8
Y,8
Y,8
Y,9
Y,9
Y,9
Y,9
Y,8
Y,8
Y,8
Y,8
Y,8
Y,8
Y,8
Y,9
Y,8
Y,8
Y,9
Y,9
Y,8
Y,9
Y,9
Y,8
Y,9
Y,9
Y,8
Y,8
Y,9
Y,9
Y,9
Y,9
Y,8
Y,8
Y,8
Y,8
Y,8
Y,9
Y,8
Y,9
Y,9
Y,8
Y,8
Y,8
Y,8
Y,9
Y,9
Y,9
Y,9
Y,8
Y,8
Y,9
Y,9
Y,8
Y,8
Y,8
Y,8
Y,8
Y,8
Y,8
Y,9
Y,8
Y,9
Y,9
Y,9
Y,9
Y,8
Y,8
Y,8
Y,8
Y,9
Y,9
Y,9
Y,9
Y,9
Y,8
Y,9
Y,9
Y,9
Y,8
Y,9
Y,8
Y,8
Y,8
Y,8
Y,8
Y,8
Y,8
Y,8
Y,9
Y,9
Y,9
Y,9
Y,9
Y,9
Y,8
Y,9
Y,9
Y,9
Y,9
Y,9
Y,9
Y,9
Y,9
Y,8
Y,9
Y,9
Y,8
Y,8
Y,9
Y,8
Y,9
Y,8
Y,8
Y,9
Y,9
Y,8
Y,9
Y,8
Y,8
Y,9
Y,9
Y,9
Y,8
Y,9
Y,9
Y,9
Y,9
Y,9
Y,9
Y,8
Y,8
Y,9
Y,9
Y,9
Y,9
Y,8
Y,9
Y,9
Y,9
Y,9
Y,9
Y,9
Y,8
Y,8
Y,8
Y,8
Y,8
Y,8
Y,9
Y,9
Y,9
Y,9
Y,9
Y,8
Y,9
Y,9
Y,8
Y,9
Y,8
Y,9
Y,8
Y,9
Y,8
Y,8
Y,8
Y,8
Y,9
Y,8
Y,8
Y,9
Y,8
Y,8
Y,9
Y,8
Y,8
Y,8
Y,8
Y,8
Y,8
Y,9
Y,9
Y,8
Y,9
Y,9
Y,8
Y,9
Y,9
Y,9
Y,9
Y,9
Y,8
Y,8
Y,8
Y,8
Y,8
Y,8
Y,9
Y,8
Y,8
Y,9
Y,8
Y,9
Y,9
Y,9
Y,9
Y,9
Y,8
Y,9
Y,9
Y,9
Y,9
Y,9
Y,9
Y,9
Y,9
Y,9
Y,8
Y,8
Y,8
Y,8
Y,9
Y,9
Y,8
Y,8
Y,9
Y,9
Y,9
Y,9
Y,9
Y,8
Y,9
Y,9
Y,9
Y,9
Y,9
Y,9
Y,8
Y,9
Y,9
Y,9
Y,8
Y,8
Y,9
Y,8
Y,8
Y,9
Y,9
Y,8
Y,9
Y,8
Y,8
Y,9
Y,9
Y,9
Y,8
Y,9
Y,8
Y,9
Y,9
Y,8
Y,8
Y,8
Y,9
Y,9
Y,8
Y,9
Y,9
Y,9
Y,9
Y,8
Y,9
Y,9
Y,9
Y,9
Y,8
Y,8
Y,8
Y,7
Y,8
Y,8
Y,8
Y,9
Y,9
Y,8
Y,9
Y,8
Y,8
Y,9
Y,8
Y,8
Y,8
Y,8
Y,9
Y,9
Y,9
Y,9
Y,9
Y,9
Y,9
Y,9
Y,8
Y,8
Y,9
Y,9
Y,8
Y,8
Y,8
Y,8
Y,8
Y,8
Y,9
Y,9
Y,8
Y,9
Y,9
Y,8
Y,8
Y,9
Y,9
Y,9
Y,9
Y,9
Y,9
Y,8
Y,9
Y,9
Y,8
Y,8
Y,9
Y,9
Y,9
Y,9
Y,8
Y,9
Y,8
Y,8
Y,8
Y,8
Y,8
Y,8
Y,8
Y,8
Y,8
Y,7
Y,8
Y,8
Y,8
Y,8
Y,8
Y,9
Y,8
Y,9
Y,9
Y,9
Y,9
Y,9
Y,8
Y,8
Y,8
